entry_uuid,categories,entry_date,entry_date_dt,entry_text_split,scrape_timestamp
c6256f45-32d2-43fe-8fca-07642c8c1ff8,"['Policy', 'Public Statements / Tweets']","November 20, 2018",2018-11-20 00:00:00,"Trump declared that the U.S. would remain a “steadfast partner” of Saudi Arabia. His support of the totalitarian monarchy came despite the CIA’s assessment that Saudi Crown Prince Mohammed bin Salman approved the gruesome killing of journalist Jamal Khashoggi. The White House statement put the murder in an economic context. “The Kingdom agreed to spend and invest $450 billion in the United States. This is a record amount of money. It will create hundreds of thousands of jobs, tremendous economic development, and much additional wealth for the United States.” The $450 billion figure was later determined to be incorrect.",2020-11-05 02:35:36.434049
a26178f5-6d7e-4896-a7fd-b963db6b4e8a,['Trump Staff & Administration'],"March 26, 2018",2018-03-26 00:00:00,"Donald Trump kept in touch with Rob Porter after Porter left the White House amid credible allegations against him of domestic abuse from two of his ex-wives. In the final few weeks of March, Trump’s phone calls with Porter became increasingly frequent, with some speculating Trump would bring Porter back to the White House soon. (March 25, 2018)",2020-11-05 02:35:36.434344
3e805304-ff66-4cf6-b9bb-0f72c107a74d,"['Environment', 'Policy']","June 19, 2019",2019-06-19 00:00:00,"The Environmental Protection Agency issued the final Affordable Clean Energy Rule, which rolled back power-plant regulations established under President Obama.",2020-11-05 02:35:36.434651
6dcf5cf8-0e80-4920-a804-7c9a826f1e3a,['Trump Staff & Administration'],"August 20, 2020",2020-08-20 00:00:00,"Stephen Bannon, Trump’s former chief strategist, was charged with cheating hundreds of thousands of donors who were told that their money would go toward building a wall along the Mexican border. A federal indictment said that Bannon, arrested with two other men, used almost $1 million for personal expenses; in all, the men raised more than $25 million. Bannon, who portrayed himself as a man of the people, was arrested on a $35 million yacht owned by fugitive Chinese billionaire Guo Wengui.",2020-11-05 02:35:36.434911
4c1f83f2-5707-45a1-ad37-3849a313ae9e,"['Collusion with Russia & Obstruction of Justice', 'Trump Family Business Dealings']","May 12, 2017",2017-05-12 00:00:00,"Morgan Lewis Tax Partners reviewed ten years of Donald Trump’s tax returns and reported that, with “a few exceptions,” he had no financial ties with Russia. After investigation of Morgan Lewis, the Guardian found the tax firm had been named Russia Law Firm of the Year by an industry publication which ranks law firms by region.",2020-11-05 02:35:36.435240
1b44c027-8734-405e-a581-443859b1554a,"['White Supremacy, Racism, Homophobia, Transphobia, & Xenophobia', 'Public Statements / Tweets']","March 18, 2020",2020-03-18 00:00:00,"Even though the World Health Organization advised him not to, as his words could give rise to racial profiling, Trump defended his use of the term “Chinese virus” to refer to COVID-19.",2020-11-05 02:35:36.435658
9aa74a6c-25bd-400f-8cde-9ecc11eea6fb,"['Public Statements / Tweets', 'Environment']","September 14, 2020",2020-09-14 00:00:00,"During a visit to California, Trump dismissed climate change as being a factor in the record-breaking wildfires that swept across the state. “It will start getting cooler, just you watch,” he said. When State Natural Resources Agency Secretary Wade Crowfoot spoke of the importance of relying on science, Trump rebuffed him, saying, “I don’t think science knows, actually.” By early October, the wildfires will have consumed 4 million acres in California.",2020-11-05 02:35:36.435965
f427bf77-4e5d-4981-83b1-76cc59076906,['Trump Staff & Administration'],"June 26, 2017",2017-06-26 00:00:00,"Interior Secretary Ryan Zinke flew on a charter plane from Las Vegas to his hometown in Montana, which cost taxpayers $12,375. Zinke and his staff used private and military aircraft multiple times.",2020-11-05 02:35:36.436220
e71b58b1-b467-4e18-848d-2f29fbdf79c4,['Public Statements / Tweets'],"January 2, 2018",2018-01-02 00:00:00,"After months of lambasting journalists and attacking the press as “fake news,” Donald Trump tweeted to announce “THE MOST DISHONEST & CORRUPT MEDIA AWARDS OF THE YEAR,” where “subjects will cover Dishonesty & Bad Reporting in various categories from the Fake News Media.”",2020-11-05 02:35:36.436786
e9d1144e-cd33-4d98-b75f-3410b19ba06c,['Public Statements / Tweets'],"November 15, 2017",2017-11-15 00:00:00,"After a mass shooting in northern California, Donald Trump appeared to copy-and-paste an earlier tweet from a different attack and forgot to change the city. Though the shooting occurred in Rancho Tehama, California, Trump tweeted, “May God be with the people of Sutherland Springs, Texas. The FBI and Law Enforcement has arrived.”",2020-11-05 02:35:36.437080
