entry_uuid,legend_bullet_src,entry_date,entry_text,entry_links,scrape_timestamp
d142c7c5-af00-4a1e-8f83-2bf0741e5a42,['https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3518/1522176758/public/bulletorange.png?1522176758'],"July 17, 2020"," – July 17, 2020 – The House Education and Labor Committee invited CDC Director Robert Redfield to appear at a hearing on schools reopening during the pandemic, but the White House reportedly ordered him not to testify.",['https://www.politico.com/news/2020/07/17/education-democrats-cdc-director-congress-367935'],2020-11-06 05:56:35.534898
52ad7d89-bda0-4a6f-a8f6-307c589d0272,['https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3515/1522176563/public/bulletlightblue.png?1522176563'],"May 31, 2017"," – May 31, 2017 – Donald Trump tweeted, “Despite the negative press covfefe.” He offered no follow-up and never explained the incomplete thought or potential misspelling. ",['https://www.nytimes.com/2017/05/31/us/politics/covfefe-trump-twitter.html'],2020-11-06 05:56:35.535186
95e8d596-e89c-466a-a4b4-5e4e1f2e0e8c,"['https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3518/1522176758/public/bulletorange.png?1522176758', 'https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3509/1521729073/original/bullet.png?1521729073']","August 25, 2017"," – August 25, 2017 – Donald Trump pardoned former Arizona sheriff Joe Arpaio. An Arizona judge had convicted Arpaio of criminal contempt-of-court for “flagrant disregard” of a court order to cease and desist his practice of racially profiling Latinos. U.S District Judge G. Murray Snow noted Arpaio made “multiple intentional misstatements of fact under oath,” and also told local news stations he would ignore the injunction and “continue ‘doing what he had always been doing.’” ","['https://www.cnn.com/2017/08/25/politics/sheriff-joe-arpaio-donald-trump-pardon/index.html', 'https://www.washingtonpost.com/news/true-crime/wp/2017/08/25/how-ex-sheriff-joe-arpaio-wound-up-facing-jail-time-before-trump-pardoned-him/?utm_term=.ad5fb4a34c1e']",2020-11-06 05:56:35.535522
60af0589-0409-4a76-a538-826e778c9559,['https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3515/1522176563/public/bulletlightblue.png?1522176563'],"February 24, 2020"," – February 24, 2020 – “The Coronavirus is very much under control in the USA,” Trump tweeted as the virus spread at an alarming rate. “We are in contact with everyone and all relevant countries. CDC & World Health have been working hard and very smart. Stock Market starting to look very good to me!” Within a few days, the stock market suffered its worst week since the 2008 financial crisis. ","['https://twitter.com/realdonaldtrump/status/1232058127740174339?lang=en', 'https://www.cnn.com/2020/02/28/investing/dow-stock-market-today/index.html']",2020-11-06 05:56:35.535899
85682f14-36e6-4a79-bb07-7f97d005f1de,"['https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3509/1521729073/original/bullet.png?1521729073', 'https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3515/1522176563/public/bulletlightblue.png?1522176563']","August 31, 2020","  – August 31, 2020 – Trump suggested that a 17-year-old charged with murdering two protesters in Kenosha, Wisconsin, acted in self-defense. “That was an interesting situation,” Trump said at a news conference. “He was trying to get away from them, I guess it looks like, and he fell and then they very violently attacked him… I guess he was in very big trouble. He probably would’ve been killed.” The shootings occurred during an anti-racist protest after Jacob Blake was shot seven times in the back by police. Trump planned to travel to Kenosha, but Blake’s family said they would talk to the president only if the family’s lawyers were present. Trump said he would not speak with them. ",['https://www.politico.com/news/2020/08/31/trump-defends-kenosha-gunman-406377'],2020-11-06 05:56:35.536195
8901791f-bae0-48a3-ab2c-a3197deea48a,['https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3515/1522176563/public/bulletlightblue.png?1522176563'],"March 15, 2017","  – March 15, 2017 – After a Hawaiian federal judge blocked Donald Trump’s second travel ban, Donald Trump lashed out at the U.S. courts in a speech at a rally, calling the decision, “unprecedented judicial overreach.” U.S. District Judge Derek ruled that Trump’s Executive Order derived from “religious animus,” concluding, “a reasonable, objective observer—enlightened to the specific historical context, contemporaneous public statements, and specific sequence of events leading to its issuance—would conclude the Executive Order was issued with a purpose to disfavor a particular religion.” In the State of Hawaii’s argument against implementation of the ban, eleven instances wherein Trump publicly announced his intent to ban Muslims from entering America were cited as evidence supporting the ruling.","['http://www.bbc.com/news/av/world-us-canada-39288917/trump-travel-ban-unprecedented-judicial-overreach', 'http://www.politico.com/f/?id=0000015a-d421-db68-a97b-d5e934210000', 'http://i2.cdn.turner.com/cnn/2017/images/03/08/58-1.pdf']",2020-11-06 05:56:35.536522
ac13f4dd-4e7b-4760-91be-49862f85bb44,"['https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3519/1522176814/public/bulletpink.png?1522176814', 'https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3509/1521729073/original/bullet.png?1521729073']","October 1, 2020","  – October 1, 2020 – In a secret 2018 recording made by her former friend and adviser Stephanie Winston Wolkoff, Melania Trump belittled the fate of migrant children taken from their parents at the Mexican border. “Give me a fucking break,” she said. “Were they were saying anything when Obama did that?” She also complained about having to work during the holidays. “I’m working like a — my ass off at Christmas stuff,” she said. “You know, who gives a fuck about Christmas stuff and decoration?”",['https://www.nytimes.com/2020/10/01/us/politics/melania-trump-tapes.html?searchResultPosition=1'],2020-11-06 05:56:35.536906
4f9a70f0-4aeb-4a4b-a225-d43862d20705,"['https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3509/1521729073/original/bullet.png?1521729073', 'https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3515/1522176563/public/bulletlightblue.png?1522176563']","July 27, 2019","  – July 27, 2019 – Trump attacked Representative Elijah Cummings, calling him a “brutal bully” and referring to Baltimore as “a disgusting, rat and rodent infested mess.” ",['https://twitter.com/realDonaldTrump/status/1155073964634517505?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1155073965880172544&ref_url=https%3A%2F%2Fpublish.twitter.com%2F%3Fquery%3Dhttps%253A%252F%252Ftwitter.com%252FrealDonaldTrump%252Fstatus%252F1155073965880172544%26widget%3DTweet'],2020-11-06 05:56:35.537198
984922c5-e52e-4c2f-bc10-588af10bde96,"['https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3518/1522176758/public/bulletorange.png?1522176758', 'https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3509/1521729073/original/bullet.png?1521729073']","October 21, 2020","  – October 21, 2020 – The parents of 545 children who were separated at the Mexican border under the Trump administration’s “zero tolerance” immigration policy cannot be found. Of those children, a report said, roughly 60 were under age 5 when they were taken away from their parents, who were likely deported. These children are now essentially orphaned, and most live in privately run detention centers in the United States.",['https://www.nytimes.com/2020/10/21/us/migrant-children-separated.html?referringSource=articleShare'],2020-11-06 05:56:35.537483
37f8aba5-5cbc-4b20-80e3-5a7c58921b97,"['https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3520/1522176863/public/bulletdarkpurple.png?1522176863', 'https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3517/1522176690/public/bulletyellow.png?1522176690']",End of December 2016,"  – End of December 2016 – In December of 2016, Donald Trump’s senior adviser Jared Kushner, incoming national security adviser Michael Flynn, and Russian Ambassador Sergey Kislyak met at Trump Tower to establish a “line of connection.” The meeting occurred around the time that the Obama administration was placing sanctions on the Russian government for interfering in the 2016 election. ",['https://www.nytimes.com/2017/03/02/us/politics/kushner-flynn-sessions-russia.html'],2020-11-06 05:56:35.537808
5e259f1a-ffa5-4398-881f-47ee8fe129bf,['https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3520/1522176863/public/bulletdarkpurple.png?1522176863'],"June 15, 2017"," – June 15, 2017 – Donald Trump selected the person who planned Eric Trump’s wedding to run federal housing for the city of New York. In her new position, Lynne Patton, who had also helped organize some of Trump’s celebrity golf events, would control a multibillion-dollar budget to manage housing for thousands of New Yorkers. ",['http://www.nydailynews.com/news/politics/trump-chooses-family-event-planner-run-n-y-housing-programs-article-1.3251314'],2020-11-06 05:56:35.538149
c292675f-c4b3-4dd5-a8e6-9577398b74e1,['https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3520/1522176863/public/bulletdarkpurple.png?1522176863'],"October 13, 2017"," – October 13, 2017 – In the fallout from Hurricane Maria, the Pentagon accidentally sent emails to a Bloomberg reporter discussing how they would spin the natural disaster for media coverage. The emails to Bloomberg continued for five days despite the Bloomberg reporter “repeatedly alerting officials” to the mistake. Among the bits of strategy gleaned from the emails were agency-wide requests to ignore the mayor of San Juan, who had been critical of Trump, and to “avoid instructions about waiting for FEMA.” ",['https://www.bloomberg.com/news/articles/2017-10-13/how-the-pentagon-spun-hurricane-maria'],2020-11-06 05:56:35.538445
0e472960-86ea-4594-9ec9-4bb657e0ce4b,['https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3518/1522176758/public/bulletorange.png?1522176758'],"April 6, 2017"," – April 6, 2017 – In order to break a filibuster from Senate Democrats, Republicans fundamentally altered Senate voting procedure in order to force confirmation of President Trump’s Supreme Court nominee, Neil Gorsuch. Before the change, Senate rules required 60 votes to confirm a new Supreme Court justice. After enacting the so-called “nuclear option” to overcome Democratic objections, that threshold dropped to 51 votes. ",['https://www.nytimes.com/2017/04/06/us/politics/neil-gorsuch-supreme-court-senate.html'],2020-11-06 05:56:35.538874
ad43a541-6943-4fd4-bfdb-231e1e605287,['https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3515/1522176563/public/bulletlightblue.png?1522176563'],"June 25, 2017"," – June 25, 2017 – Donald Trump tweeted, “Hillary Clinton colluded with the Democratic Party in order to beat Crazy Bernie Sanders. Is she allowed to so collude? Unfair to Bernie!” At the time, Trump was under investigation for colluding with Russia to influence the 2016 election. ",['https://twitter.com/realdonaldtrump/status/878946025662296064?lang=en'],2020-11-06 05:56:35.539207
e6de9cdc-ee24-4ad0-80dc-440b9dc0e4ee,['https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3515/1522176563/public/bulletlightblue.png?1522176563'],"October 23, 2017"," – October 23, 2017 – Myeshia Johnson, the widow of a fallen US soldier, said Donald Trump forgot her husband’s name when calling to console her. On Twitter, Trump denied the Gold Star widow’s allegations, saying he had said her husband’s name without hesitation.",['http://abcnews.go.com/US/fallen-soldiers-widow-angry-trumps-call-couldnt-remember/story?id=50655063'],2020-11-06 05:56:35.539450
a0a2e336-e94d-49aa-ab25-6b9d6289131a,['https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3517/1522176690/public/bulletyellow.png?1522176690'],January/February 2018," – January/February 2018 – Responding to the pending release of the Republican-generated Nunes memo and its alleged revelations about surveillance of the Donald Trump campaign by the FBI, Speaker of the House Paul Ryan said, “I think the people at the FBI, at the DOJ need to cleanse their own house if there are problems in their own house,” claiming that, “there’s a very legitimate issue here as to whether or not an American’s civil liberties were violated in the FISA process. Members of the Trump administration like Donald Trump Jr. also spoke to the memo’s allegations of FBI wrongdoing, later calling its release “sweet revenge” for the Trump family. ","['http://thehill.com/homenews/house/371429-ryan-calls-for-a-cleanse-of-the-fbi', 'http://thehill.com/blogs/blog-briefing-room/news/372197-trump-jr-on-memo-theres-definitely-a-bit-of-revenge-for-me-and']",2020-11-06 05:56:35.539908
ce8a59de-c7fb-4dba-b585-407ec38711a0,['https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3512/1521729445/original/bulletred.png?1521729445'],"October 27, 2016"," – October 27, 2016 – Ninni Laaksonen, a former Miss Finland, alleged that Donald Trump had sexually harassed her. Laaksonen described an incident in which Trump groped her from behind in 2006. ",['https://www.is.fi/viihde/art-2000001939677.html'],2020-11-06 05:56:35.540151
bdf39f8c-8017-4f39-8f08-4cd3e39d5723,"['https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3517/1522176690/public/bulletyellow.png?1522176690', 'https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3515/1522176563/public/bulletlightblue.png?1522176563', 'https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3515/1522176563/public/bulletlightblue.png?1522176563']","July 12, 2017","   – July 12, 2017 – In defending his son after news surfaced that Donald Trump Jr. met with a Russian lawyer during the presidential campaign, Donald Trump repeated said again the Russia investigation is “""the greatest Witch Hunt in political history"":.” ",[],2020-11-06 05:56:35.540462
67dbddcd-5705-4e9a-a7d9-93b5472278cc,['https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3515/1522176563/public/bulletlightblue.png?1522176563'],"September 24, 2017"," – September 24, 2017 – Donald Trump repeated his rebuke of National Football League players who kneel during the national anthem. He tweeted, “Great solidarity for our National Anthem and for our Country. Standing with locked arms is good, kneeling is not acceptable. Bad ratings!” ",['https://twitter.com/realDonaldTrump/status/912018945158402049?ref_src=twsrc%255Etfw&ref_url=https%253A%252F%252Fwww.cnn.com%252F2017%252F09%252F24%252Fpolitics%252Fdonald-trump-nfl-sunday-protest-response%252Findex.html'],2020-11-06 05:56:35.540801
75abc760-a7a3-42f0-9f03-272871e0fd04,['https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3520/1522176863/public/bulletdarkpurple.png?1522176863'],"February 12, 2017"," – February 12, 2017 – In a tweet from their official account, the Department of Education misspelled the name of W.E.B. Du Bois. In a follow-up tweet apologizing for the error, the Department of Education misspelled the word “apologies.” ",['https://www.politico.com/story/2017/02/education-spelling-twitter-234946'],2020-11-06 05:56:35.541055
d8b9be0e-f636-4578-9563-fa473186809d,['https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3520/1522176863/public/bulletdarkpurple.png?1522176863'],"February 28, 2018"," – February 28, 2018 – Months after series of meetings held in the White House between Jared Kushner and the CEO of Apollo Global Management, a massive wealth management fund, Apollo lent Kushner Companies $184 million dollars to refinance their mortgage on a Chicago skyscraper. Earlier last year, Kushner’s firm received an even larger loan of $325 million from Citigroup shortly after Kushner met the CEO of Citigroup at the White House. ",['https://www.nytimes.com/2018/02/28/business/jared-kushner-apollo-citigroup-loans.html'],2020-11-06 05:56:35.541465
91799f2d-3d81-4e26-bba1-a026ff92e0d8,"['https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3519/1522176814/public/bulletpink.png?1522176814', 'https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3515/1522176563/public/bulletlightblue.png?1522176563']","May 12, 2020","  – May 12, 2020 – Though U.S. law dictates that the election occurs on the Tuesday after the first Monday in November, White House adviser Jared Kushner suggested that the presidential election might have to be delayed because of the pandemic. “I’m not sure I can commit one way or the other,” he said, though neither Kushner nor Trump has the authority to postpone an election.",['https://www.nytimes.com/2020/05/12/us/politics/kushner-election-november.html'],2020-11-06 05:56:35.541838
dc72c14e-f1e1-4d38-8111-3de43a1c5aef,['https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3518/1522176758/public/bulletorange.png?1522176758'],"September 22, 2020"," – September 22, 2020 – Congress in March approved $1 billion for the Pentagon to “prevent, prepare for, and respond to coronavirus,” including making more masks and medical equipment available. Instead, the Defense Department gave most of the money to defense contractors for jet engine parts and other military supplies.",['https://www.washingtonpost.com/business/2020/09/22/covid-funds-pentagon/'],2020-11-06 05:56:35.542111
18433943-7a38-4267-b3d2-211224864a59,['https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3515/1522176563/public/bulletlightblue.png?1522176563'],"August 12, 2020"," – August 12, 2020 – Trump congratulated Marjorie Taylor Greene, a Republican congressional candidate from Georgia who voiced her support of the far-right conspiracy theory QAnon. “Marjorie is strong on everything and never gives up — a real WINNER!” Trump wrote on Twitter. The FBI identified QAnon as a potential domestic terror threat in 2019.",['https://www.axios.com/trump-qanon-georgia-runoff-marjorie-taylor-greene-50ccdb7a-89ca-4331-9b16-77710ea27b5c.html'],2020-11-06 05:56:35.542443
8544d03f-38e9-497d-bbdf-c27ae0043864,['https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3515/1522176563/public/bulletlightblue.png?1522176563'],"July 18, 2015"," – July 18, 2015 – Donald Trump insulted the military service of Senator John McCain, a decorated Vietnam War veteran who endured torture and solitary confinement as a POW in Hanoi. Trump said in a speech at the Family Leadership Summit in Iowa, ""He’s not a war hero. He was a war hero because he was captured. I like people who weren’t captured.” Trump’s comments drew boos from his audience in Iowa, as well as widespread condemnation from Republicans and Democrats alike. Donald Trump himself was exempted from military service after receiving four student deferments between 1964 and 1968, and a medical deferment for a “bone spur in his foot” after graduating from college. ","['https://www.politico.com/story/2015/07/trump-attacks-mccain-i-like-people-who-werent-captured-12031', 'https://www.nytimes.com/2016/08/02/us/politics/donald-trump-draft-record.html”']",2020-11-06 05:56:35.542775
3fadabdc-6450-4002-885d-61f52414cbf7,['https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3518/1522176758/public/bulletorange.png?1522176758'],"October 11, 2017"," – October 11, 2017 – After Congress repeatedly blocked its efforts to overhaul immigration policy, the Department of Homeland Security began to explore smaller policy tweaks it could legally enact without the approval of Congress. Though smaller in scope than the more ambitious calls for border walls and billions spent on border security, the DHS looked into ways it could limit protections for unaccompanied minors, tighten visa restrictions, and accelerate pending deportations. ",['https://www.cnn.com/2017/10/11/politics/trump-administration-dhs-immigration-policies/index.html'],2020-11-06 05:56:35.543061
748871da-45bd-44c9-9836-1855489de117,['https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3515/1522176563/public/bulletlightblue.png?1522176563'],"August 5, 2020"," – August 5, 2020 – The United States recorded 1,380 COVID-19 deaths in a day, but Trump said, “This thing’s going away. It will go away like things go away.”",['https://www.bloomberg.com/news/articles/2020-08-05/trump-says-surging-virus-will-go-away-like-things-go-away'],2020-11-06 05:56:35.543432
