entry_uuid,Category(s),Date,entry_date_dt,Entry,scrape_timestamp,entry_links,category_ids,Sources,entry_text_lower,themes
6507bba8-bb89-428a-a499-c4e6e7ec51d6,"🧑‍💼 Trump Staff & Administration

","November 2, 2020",2020-11-02,"On his final day of campaigning, Trump held five rallies in four states, drawing thousands of supporters — most of whom neither wore masks nor social-distanced despite a dramatic increase in coronavirus cases across the country. The president mocked his rival, Joe Biden, for holding smaller events at which people stayed in their cars to remain safe.",2020-11-05 02:35:36.745871,['https://www.washingtonpost.com/elections/2020/11/02/trump-biden-live-updates/'],[5],"- [https://www.washingtonpost.com/elections/2020/11/02/trump-biden-live-updates/](https://www.washingtonpost.com/elections/2020/11/02/trump-biden-live-updates/)

","on his final day of campaigning, trump held five rallies in four states, drawing thousands of supporters — most of whom neither wore masks nor social-distanced despite a dramatic increase in coronavirus cases across the country. the president mocked his rival, joe biden, for holding smaller events at which people stayed in their cars to remain safe.",['Coronavirus']
3e43271c-42c8-4ba8-8ce4-a46594a4eb2a,"📱 Public Statements / Tweets

","November 2, 2020",2020-11-02,"The crowd at an after-midnight Trump rally in Florida chanted “Fire Fauci,” prompting the president to say that he might, in fact, oust the nation’s top infectious disease expert. “Don’t tell anybody, but let me wait until a little bit after the election,” he said. “I appreciate the advice.”",2020-11-05 02:35:36.526175,['https://www.cnn.com/2020/11/02/politics/donald-trump-anthony-fauci-job-post-election/index.html'],[3],"- [https://www.cnn.com/2020/11/02/politics/donald-trump-anthony-fauci-job-post-election/index.html](https://www.cnn.com/2020/11/02/politics/donald-trump-anthony-fauci-job-post-election/index.html)

","the crowd at an after-midnight trump rally in florida chanted “fire fauci,” prompting the president to say that he might, in fact, oust the nation’s top infectious disease expert. “don’t tell anybody, but let me wait until a little bit after the election,” he said. “i appreciate the advice.”",[]
e32fd555-c583-4b71-a3d2-83582d06af1b,"📱 Public Statements / Tweets

","November 1, 2020",2020-11-01,"At a rally in Michigan, Trump falsely claimed that before his election, no new auto plants had opened in the state for “decades and decades.” He also repeated a fabricated story that former Japanese Prime Minister Shinzo Abe, at Trump’s urging, announced that five Japanese auto plants would be built in Michigan. No Japanese automaker has plans to build any plants in the state.",2020-11-05 02:35:36.574346,"['https://www.freep.com/story/news/politics/elections/2020/11/01/trump-appeals-macomb-county-voters-battleground-blitz/6112213002/', 'https://www.startribune.com/ap-fact-check-trump-and-his-oh-so-familiar-falsehoods/572864631/']",[3],"- [https://www.freep.com/story/news/politics/elections/2020/11/01/trump-appeals-macomb-county-voters-battleground-blitz/6112213002/](https://www.freep.com/story/news/politics/elections/2020/11/01/trump-appeals-macomb-county-voters-battleground-blitz/6112213002/)

- [https://www.startribune.com/ap-fact-check-trump-and-his-oh-so-familiar-falsehoods/572864631/](https://www.startribune.com/ap-fact-check-trump-and-his-oh-so-familiar-falsehoods/572864631/)

","at a rally in michigan, trump falsely claimed that before his election, no new auto plants had opened in the state for “decades and decades.” he also repeated a fabricated story that former japanese prime minister shinzo abe, at trump’s urging, announced that five japanese auto plants would be built in michigan. no japanese automaker has plans to build any plants in the state.",[]
c6588ea3-2cdb-49a8-933c-81c85b101e0f,"🧑‍💼 Trump Staff & Administration

","November 1, 2020",2020-11-01,"Trump will hold an election night party in the East Room of the White House with roughly 400 invited guests. The campaign moved the event from the nearby Trump Hotel, which, according to the city’s rules, could have allowed only 50 people. Dozens of people, including the president, were infected with COVID-19 after a White House ceremony in September that Dr. Anthony Fauci called a “superspreader event.”",2020-11-05 02:35:36.515261,['https://www.nytimes.com/live/2020/11/01/us/trump-biden-election?referringSource=articleShare#trump-will-hold-his-election-night-party-inside-the-white-house-with-up-to-400-invitees'],[5],"- [https://www.nytimes.com/live/2020/11/01/us/trump-biden-election?referringSource=articleShare#trump-will-hold-his-election-night-party-inside-the-white-house-with-up-to-400-invitees](https://www.nytimes.com/live/2020/11/01/us/trump-biden-election?referringSource=articleShare#trump-will-hold-his-election-night-party-inside-the-white-house-with-up-to-400-invitees)

","trump will hold an election night party in the east room of the white house with roughly 400 invited guests. the campaign moved the event from the nearby trump hotel, which, according to the city’s rules, could have allowed only 50 people. dozens of people, including the president, were infected with covid-19 after a white house ceremony in september that dr. anthony fauci called a “superspreader event.”",['Coronavirus']
080e2671-6a0c-4fa9-a014-0e8745088edd,"📱 Public Statements / Tweets

","November 1, 2020",2020-11-01,"Trump hailed supporters of his who blockaded a Biden campaign bus on a highway in Texas. The FBI is investigating the incident, in which trucks flying Trump flags tried to run the bus off the road, according to Biden’s camp. “In my opinion, these patriots did nothing wrong,” Trump wrote on Twitter. “Instead, the FBI & Justice should be investigating the terrorists, anarchists, and agitators of ANTIFA, who run around burning down our Democrat run cities and hurting our people!”",2020-11-05 02:35:36.684017,['https://www.nytimes.com/2020/11/01/us/elections/trump-defends-texas-drivers-who-surrounded-biden-bus-while-the-presidents-supporters-block-traffic-in-new-york-and-new-jersey.html?referringSource=articleShare'],[3],"- [https://www.nytimes.com/2020/11/01/us/elections/trump-defends-texas-drivers-who-surrounded-biden-bus-while-the-presidents-supporters-block-traffic-in-new-york-and-new-jersey.html?referringSource=articleShare](https://www.nytimes.com/2020/11/01/us/elections/trump-defends-texas-drivers-who-surrounded-biden-bus-while-the-presidents-supporters-block-traffic-in-new-york-and-new-jersey.html?referringSource=articleShare)

","trump hailed supporters of his who blockaded a biden campaign bus on a highway in texas. the fbi is investigating the incident, in which trucks flying trump flags tried to run the bus off the road, according to biden’s camp. “in my opinion, these patriots did nothing wrong,” trump wrote on twitter. “instead, the fbi & justice should be investigating the terrorists, anarchists, and agitators of antifa, who run around burning down our democrat run cities and hurting our people!”",[]
0910f056-125c-4811-a749-adcf74ceb6fa,"📱 Public Statements / Tweets

🧑‍💼 Trump Staff & Administration

","October 31, 2020",2020-10-31,"Warning of “FRAUD like you’ve never seen, plain and simple!” Trump’s campaign began raising money to use after the election. The campaign’s website automatically withdraws weekly donations from donors — unless they go out of their way to click on a box preventing them from making multiple contributions.",2020-11-05 02:35:36.468544,['https://www.nytimes.com/2020/10/31/us/politics/trump-fundraising-donations.html?referringSource=articleShare'],"[3, 5]","- [https://www.nytimes.com/2020/10/31/us/politics/trump-fundraising-donations.html?referringSource=articleShare](https://www.nytimes.com/2020/10/31/us/politics/trump-fundraising-donations.html?referringSource=articleShare)

","warning of “fraud like you’ve never seen, plain and simple!” trump’s campaign began raising money to use after the election. the campaign’s website automatically withdraws weekly donations from donors — unless they go out of their way to click on a box preventing them from making multiple contributions.",[]
8b027167-fc1a-466c-82f0-d8a3a5c35d2e,"🧑‍💼 Trump Staff & Administration

","October 31, 2020",2020-10-31,"A Stanford University study concluded that at least 30,000 people contracted the coronavirus — and 700 people died of it — due to 18 Trump campaign rallies.",2020-11-05 02:35:36.604260,['https://www.nytimes.com/2020/10/31/us/politics/stanford-study-infections-trump-rallies.html?referringSource=articleShare'],[5],"- [https://www.nytimes.com/2020/10/31/us/politics/stanford-study-infections-trump-rallies.html?referringSource=articleShare](https://www.nytimes.com/2020/10/31/us/politics/stanford-study-infections-trump-rallies.html?referringSource=articleShare)

","a stanford university study concluded that at least 30,000 people contracted the coronavirus — and 700 people died of it — due to 18 trump campaign rallies.",['Coronavirus']
c5073114-7bc3-4625-930e-c082d7768cf5,"📱 Public Statements / Tweets

","October 31, 2020",2020-10-31,"For the second time in a week, Trump falsely claimed that doctors were inflating the number of patient deaths from COVID-19 in order to be paid more. At a rally in Michigan, Trump said, “Our doctors get more money if someone dies from COVID. You know that, right? I mean our doctors are very smart people. So what they do is they say, ‘I’m sorry, but everybody dies of COVID.’”",2020-11-05 02:35:36.441321,['https://www.cnn.com/2020/10/30/politics/trump-doctors-covid/index.html'],[3],"- [https://www.cnn.com/2020/10/30/politics/trump-doctors-covid/index.html](https://www.cnn.com/2020/10/30/politics/trump-doctors-covid/index.html)

","for the second time in a week, trump falsely claimed that doctors were inflating the number of patient deaths from covid-19 in order to be paid more. at a rally in michigan, trump said, “our doctors get more money if someone dies from covid. you know that, right? i mean our doctors are very smart people. so what they do is they say, ‘i’m sorry, but everybody dies of covid.’”",['Coronavirus']
e00d3537-34bc-4b9b-b6e1-f72c0d805ac9,"📱 Public Statements / Tweets

🧑‍💼 Trump Staff & Administration

","October 29, 2020",2020-10-29,"Two people who were at a Trump rally in North Carolina tested positive for the coronavirus. Thousands attended the outdoor gathering at Gastonia Municipal Airport on October 21. Rallygoers stood shoulder to shoulder, and few wore masks. “This is one hell of a big crowd,” Trump said, praising his supporters. On October 28, North Carolina broke its record for new COVID-19 cases: 2,885 in one day.",2020-11-05 02:35:36.464570,['https://thehill.com/homenews/administration/523435-two-people-who-attended-trumps-north-carolina-rally-test-positive-for'],"[3, 5]","- [https://thehill.com/homenews/administration/523435-two-people-who-attended-trumps-north-carolina-rally-test-positive-for](https://thehill.com/homenews/administration/523435-two-people-who-attended-trumps-north-carolina-rally-test-positive-for)

","two people who were at a trump rally in north carolina tested positive for the coronavirus. thousands attended the outdoor gathering at gastonia municipal airport on october 21. rallygoers stood shoulder to shoulder, and few wore masks. “this is one hell of a big crowd,” trump said, praising his supporters. on october 28, north carolina broke its record for new covid-19 cases: 2,885 in one day.",['Coronavirus']
12960024-bc44-456a-bceb-cc4fc08b005d,"📱 Public Statements / Tweets

","October 29, 2020",2020-10-29,"In an interview on Fox News, Donald Trump Jr. asserted that the number of Americans dying from COVID-19 is “almost nothing.” One thousand and four Americans died from the virus the day of his statement, bringing the total dead to almost 230,000.",2020-11-05 02:35:36.643322,['https://www.politico.com/news/2020/10/30/trump-jr-coronavirus-deaths-nothing-433665'],[3],"- [https://www.politico.com/news/2020/10/30/trump-jr-coronavirus-deaths-nothing-433665](https://www.politico.com/news/2020/10/30/trump-jr-coronavirus-deaths-nothing-433665)

","in an interview on fox news, donald trump jr. asserted that the number of americans dying from covid-19 is “almost nothing.” one thousand and four americans died from the virus the day of his statement, bringing the total dead to almost 230,000.",['Coronavirus']
7c5a38ac-9b62-4743-a248-35da313c0732,"🏞 Environment

📋 Policy

","October 28, 2020",2020-10-28,Trump eliminated Clinton-era protections that banned logging and development on 9.3 million acres of Alaska’s Tongass National Forest. His action will allow logging companies to cut down trees and build roads in one of the largest temperate rainforests on Earth.,2020-11-05 02:35:36.781500,['https://www.washingtonpost.com/climate-environment/2020/10/28/trump-tongass-national-forest-alaska/'],"[8, 7]","- [https://www.washingtonpost.com/climate-environment/2020/10/28/trump-tongass-national-forest-alaska/](https://www.washingtonpost.com/climate-environment/2020/10/28/trump-tongass-national-forest-alaska/)

",trump eliminated clinton-era protections that banned logging and development on 9.3 million acres of alaska’s tongass national forest. his action will allow logging companies to cut down trees and build roads in one of the largest temperate rainforests on earth.,[]
d30cf5ff-4042-40e2-84db-3dcea4552cc5,"📱 Public Statements / Tweets

","October 27, 2020",2020-10-27,"At a campaign rally in Michigan, Trump boasted about winning the state’s “Man of the Year” award — a claim he has made at least six times in past years. There is no such award.",2020-11-05 02:35:36.620735,"['https://twitter.com/atrupar/status/1321168228937289728?s=20', 'https://www.cnn.com/2020/05/21/politics/fact-check-trump-michigan-man-of-the-year-again/index.html']",[3],"- [https://twitter.com/atrupar/status/1321168228937289728?s=20](https://twitter.com/atrupar/status/1321168228937289728?s=20)

- [https://www.cnn.com/2020/05/21/politics/fact-check-trump-michigan-man-of-the-year-again/index.html](https://www.cnn.com/2020/05/21/politics/fact-check-trump-michigan-man-of-the-year-again/index.html)

","at a campaign rally in michigan, trump boasted about winning the state’s “man of the year” award — a claim he has made at least six times in past years. there is no such award.",[]
4f5a9973-0e75-4390-98ec-22e5e24dad26,"🧑‍💼 Trump Staff & Administration

","October 27, 2020",2020-10-27,"Hundreds of Trump supporters, many of them elderly, were left stranded in frigid conditions for hours after he left a nighttime rally in Nebraska. Thousands attended the event, held at an airfield, and buses weren’t able to get to them because of crowded airport roads. Seven people were transported to hospitals, some suffering from hypothermia.",2020-11-05 02:35:36.679459,['https://www.google.com/url?q=https://www.washingtonpost.com/nation/2020/10/28/trump-omaha-supporters-stuck-cold/&source=gmail-imap&ust=1604518631000000&usg=AOvVaw2ECo3hvhj-U05_XHRTwYHe'],[5],"- [https://www.google.com/url?q=https://www.washingtonpost.com/nation/2020/10/28/trump-omaha-supporters-stuck-cold/&source=gmail-imap&ust=1604518631000000&usg=AOvVaw2ECo3hvhj-U05_XHRTwYHe](https://www.google.com/url?q=https://www.washingtonpost.com/nation/2020/10/28/trump-omaha-supporters-stuck-cold/&source=gmail-imap&ust=1604518631000000&usg=AOvVaw2ECo3hvhj-U05_XHRTwYHe)

","hundreds of trump supporters, many of them elderly, were left stranded in frigid conditions for hours after he left a nighttime rally in nebraska. thousands attended the event, held at an airfield, and buses weren’t able to get to them because of crowded airport roads. seven people were transported to hospitals, some suffering from hypothermia.",[]
